promo_group_id,promo_name,promo_type,start_date,end_date,target_kit_id,target_kit_ids,platform_name,condition_qty,gift_qty,gift_kit_id
G_0064,FRAIJOUR | 약쑥 토너,Q_BASED,2024-04-03,2024-04-04,1416294630,{1416294630},G마켓,1,1,
G_0065,MIMI 퍼퓸 | 섬유향수,Q_BASED,2024-04-09,2024-04-10,1513422925,{1513422925},G마켓,1,1,
G_0066,VALMONA | 바이탈샴푸,Q_BASED,2024-04-10,2024-04-12,3015066986,{3015066986},G마켓,1,1,
G_0067,CHARCHAR | 헤어세럼,Q_BASED,2024-04-12,2024-04-15,1692731979,{1692731979},G마켓,1,1,
G_0068,CHARCHAR | 헤어세럼,Q_BASED,2024-04-05,2024-04-08,B687962411,{B687962411},옥션,1,1,
G_0069,ROERANCE | 바디미스트,Q_BASED,2024-04-09,2024-04-11,B619607455,{B619607455},옥션,2,1,
G_0070,BATHPA | 스크럽워시,PRICE_ONLY,2024-04-15,2024-04-16,2397735259,{2397735259},G마켓,1,0,
G_0071,ROERANCE | 바디미스트,Q_BASED,2024-04-16,2024-04-17,832114998,{832114998},G마켓,2,1,
G_0072,BATHPA | 스크럽워시,PRICE_ONLY,2024-04-16,2024-04-17,C561340751,{C561340751},옥션,1,0,
G_0073,MIMI 퍼퓸 | 섬유향수,Q_BASED,2024-04-15,2024-04-16,1513422925,{1513422925},G마켓,1,1,
G_0074,MIMI 퍼퓸 | 섬유향수,Q_BASED,2024-04-16,2024-04-18,1513422925,{1513422925},G마켓,1,1,
G_0075,ROERANCE | 바디미스트,Q_BASED,2024-04-16,2024-04-17,36368524001,"{36368524001,36368524002,36368524004,36368524006,36368524008,36368524009,36368524010,36368524011}",GS이숍,2,1,
G_0076,FRAIJOUR | 콜라겐립오일,Q_BASED,2024-04-12,2024-04-15,D840615092,{D840615092},옥션,1,1,
G_0077,MIMI 퍼퓸 | 섬유향수,Q_BASED,2024-04-20,2024-04-22,1513422925,{1513422925},G마켓,1,1,
G_0078,BATHPA | 무드퍼퓸,Q_BASED,2024-04-21,2024-04-23,1824691195,{1824691195},G마켓,1,1,
G_0079,PEDISON 바디 | 여성청결제,Q_BASED,2024-04-17,2024-04-18,483648529,{483648529},G마켓,2,1,
G_0080,BATHPA | 스크럽워시,Q_BASED,2024-04-19,2024-04-21,C561340751,{C561340751},옥션,2,1,
G_0081,ROERANCE | 바디미스트,Q_BASED,2024-04-20,2024-04-22,B619607455,{B619607455},옥션,2,1,
G_0082,CHARCHAR | 헤어세럼,Q_BASED,2024-04-20,2024-04-22,1692731979,{1692731979},G마켓,1,1,
G_0083,PEDISON 바디 | 여성청결제,Q_BASED,2024-04-23,2024-04-24,483648529,{483648529},G마켓,1,1,
G_0084,FRAIJOUR | 약쑥토너,Q_BASED,2024-04-21,2024-04-23,21606783003,{21606783003},GS이숍,1,1,
G_0085,ROERANCE | 바디미스트,Q_BASED,2024-04-24,2024-04-25,832114998,{832114998},G마켓,1,1,
G_0086,BATHPA | 스크럽워시,PRICE_ONLY,2024-04-27,2024-04-30,2397735259,{2397735259},G마켓,1,0,
G_0087,ROERANCE | 바디미스트,Q_BASED,2024-04-26,2024-04-30,B619607455,{B619607455},옥션,1,1,
G_0088,CHARCHAR | 헤어세럼,Q_BASED,2024-05-01,2024-05-02,1692731979,{1692731979},G마켓,1,1,
G_0089,ROERANCE | 바디미스트,Q_BASED,2024-05-03,2024-05-07,832114998,{832114998},G마켓,2,1,
G_0090,BATHPA | 스크럽워시,Q_BASED,2024-05-01,2024-05-02,C561340751,{C561340751},옥션,2,1,
G_0091,PEDISON 바디 | 여성청결제,Q_BASED,2024-04-26,2024-04-30,483648529,{483648529},G마켓,1,1,
G_0092,BATHPA | 스크럽워시,Q_BASED,2024-04-25,2024-04-29,C561340751,{C561340751},옥션,2,1,
G_0093,PEDISON 바디 | 여성청결제,Q_BASED,2024-04-27,2024-04-29,18182254005,"{18182254005,18182254003,18182254004}",GS이숍,1,1,
G_0094,CHARCHAR | 헤어세럼,PRICE_ONLY,2024-04-26,2024-04-29,36527089001,{36527089001},GS이숍,1,0,
G_0095,PEDISON 바디 | 여성청결제,Q_BASED,2024-04-30,2024-05-01,B377660277,{B377660277},옥션,1,1,
G_0096,ROERANCE | 바디미스트,Q_BASED,2024-04-30,2024-05-01,832114998,{832114998},G마켓,1,1,
G_0097,BATHPA | 스크럽워시,PRICE_ONLY,2024-04-30,2024-05-01,C561340751,{C561340751},옥션,1,0,
G_0098,PEDISON 바디 | 여성청결제,Q_BASED,2024-05-05,2024-05-07,483648529,{483648529},G마켓,1,1,
G_0099,FRAIJOUR | 약쑥토너,Q_BASED,2024-05-03,2024-05-07,44075301 001,{44075301 001},홈앤쇼핑,1,1,
G_0100,ROERANCE | 바디미스트,Q_BASED,2024-05-05,2024-05-07,42782041,"{42782041,42782041 004}",홈앤쇼핑,1,1,
G_0101,MIMI 모먼트 | 핸드워시,Q_BASED,2024-05-09,2024-05-13,37803139004,"{37803139004,37803139005,37803139006,37803139007}",GS이숍,2,1,
