kit_id,product_id,multiplier
로에랑스_퍼퓸미스트 250: 퓨어솝 + 브리즈,RRBM006,1
로에랑스_퍼퓸미스트 250: 퓨어솝 + 브리즈,RRBM013,1
로에랑스_퍼퓸미스트 250: 퓨어솝 + 블루밍,RRBM006,1
로에랑스_퍼퓸미스트 250: 퓨어솝 + 블루밍,RRBM010,1
로에랑스_퍼퓸미스트 250: 퓨어솝 + 해피데이,RRBM006,1
로에랑스_퍼퓸미스트 250: 퓨어솝 + 해피데이,RRBM002,1
로에랑스_퍼퓸미스트 250: 퓨어솝 x2,RRBM006,2
로에랑스_퍼퓸미스트 250: 해디데이 + 브리즈,RRBM002,1
로에랑스_퍼퓸미스트 250: 해디데이 + 브리즈,RRBM013,1
로에랑스_퍼퓸미스트 250: 해피데이,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 머스크,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 머스크,RRBM001,1
로에랑스_퍼퓸미스트 250: 해피데이 + 문라이트,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 문라이트,RRBM004,1
로에랑스_퍼퓸미스트 250: 해피데이 + 브리즈,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 브리즈,RRBM013,1
로에랑스_퍼퓸미스트 250: 해피데이 + 블루밍,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 블루밍,RRBM010,1
로에랑스_퍼퓸미스트 250: 해피데이 + 엔디어링,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 엔디어링,RRBM011,1
로에랑스_퍼퓸미스트 250: 해피데이 + 체리,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 체리,RRBM012,1
로에랑스_퍼퓸미스트 250: 해피데이 + 퓨어솝,RRBM002,1
로에랑스_퍼퓸미스트 250: 해피데이 + 퓨어솝,RRBM006,1
로에랑스_퍼퓸미스트 250: 해피데이 x2,RRBM002,2
로에랑스_퍼퓸미스트 250: 해피데이 x3,RRBM002,3
로에랑스_퍼퓸미스트 250: 해피에디,RRBM002,1
로즈마인_로션:  메이비,RMBL007,1
로즈마인_로션: 가든로즈,RMBL015,1
로즈마인_로션: 가든로즈 x3,RMBL015,3
로즈마인_로션: 글래밍,RMBL003,1
로즈마인_로션: 글래밍 + 로션 플로랄,RMBL003,1
로즈마인_로션: 글래밍 + 로션 플로랄,RMBL001,1
로즈마인_로션: 글래밍 + 로션: 머스크,RMBL003,1
로즈마인_로션: 글래밍 + 로션: 머스크,RMBL004,1
로즈마인_로션: 글래밍 + 로션: 모링가,RMBL003,1
로즈마인_로션: 글래밍 + 로션: 모링가,RMBL014,1
로즈마인_로션: 글래밍 + 로션: 블레싱,RMBL003,1
로즈마인_로션: 글래밍 + 로션: 블레싱,RMBL006,1
로즈마인_로션: 글래밍 + 워시: 글래밍,RMBL003,1
로즈마인_로션: 글래밍 + 워시: 글래밍,RPBC003,1
로즈마인_로션: 글래밍 x2,RMBL003,2
로즈마인_로션: 글리밍 x2,RMBL003,2
로즈마인_로션: 글리밍 x3,RMBL003,3
로즈마인_로션: 머스크,RMBL004,1
로즈마인_로션: 머스크 + 로션: 글래밍,RMBL004,1
로즈마인_로션: 머스크 + 로션: 글래밍,RMBL003,1
